Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Nov 2025,SEN,19573989,,Goudiry,current,2025-10-01,2025-12-31,3,18390,0.1
Nov 2025,SEN,19573989,,Goudiry,current,2025-10-01,2025-12-31,4,1839,0.01
Nov 2025,SEN,19573989,,Goudiry,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Goudiry,first projection,2026-06-01,2026-08-31,all,183898,1.0
Nov 2025,SEN,19573989,,Goudiry,first projection,2026-06-01,2026-08-31,3+,36780,0.2
Nov 2025,SEN,19573989,,Goudiry,first projection,2026-06-01,2026-08-31,1,101144,0.55
Nov 2025,SEN,19573989,,Goudiry,first projection,2026-06-01,2026-08-31,2,45975,0.25
Nov 2025,SEN,19573989,,Goudiry,first projection,2026-06-01,2026-08-31,3,33102,0.18
Nov 2025,SEN,19573989,,Goudiry,first projection,2026-06-01,2026-08-31,4,3678,0.02
Nov 2025,SEN,19573989,,Goudiry,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Podor,current,2025-10-01,2025-12-31,all,521323,1.0
Nov 2025,SEN,19573989,,Podor,current,2025-10-01,2025-12-31,3+,41706,0.08
Nov 2025,SEN,19573989,,Podor,current,2025-10-01,2025-12-31,1,307581,0.59
Nov 2025,SEN,19573989,,Podor,current,2025-10-01,2025-12-31,2,172037,0.33
Nov 2025,SEN,19573989,,Podor,current,2025-10-01,2025-12-31,3,36493,0.07
Nov 2025,SEN,19573989,,Podor,current,2025-10-01,2025-12-31,4,5213,0.01
Nov 2025,SEN,19573989,,Podor,current,2025-10-01,2025-12-31,5,0,0
Nov 2025,SEN,19573989,,Podor,first projection,2026-06-01,2026-08-31,all,521323,1.0
Nov 2025,SEN,19573989,,Podor,first projection,2026-06-01,2026-08-31,3+,57345,0.11
Nov 2025,SEN,19573989,,Podor,first projection,2026-06-01,2026-08-31,1,245022,0.47
Nov 2025,SEN,19573989,,Podor,first projection,2026-06-01,2026-08-31,2,218956,0.42
Nov 2025,SEN,19573989,,Podor,first projection,2026-06-01,2026-08-31,3,46919,0.09
Nov 2025,SEN,19573989,,Podor,first projection,2026-06-01,2026-08-31,4,10426,0.02
Nov 2025,SEN,19573989,,Podor,first projection,2026-06-01,2026-08-31,5,0,0
Nov 2025,SEN,19573989,,Keur massar,current,2025-10-01,2025-12-31,all,814863,1.0
Nov 2025,SEN,19573989,,Keur massar,current,2025-10-01,2025-12-31,3+,8149,0.01
Nov 2025,SEN,19573989,,Keur massar,current,2025-10-01,2025-12-31,1,717079,0.88
